Target Name	E-value
R7I2K1_9CLOT	1000000.0
R7N9S8_9FIRM	1000000.0
A0A0R2HM97_9FIRM	277.5086383061657
R7GMQ9_9FIRM	260.32790214206426
A0A1I0EHL5_9FIRM	255.7447274948967
A0A1P8Q111_9LACO	227.14874165128091
A0A0H4LAX2_9LACO	225.0
A0A2K2U9X6_9ACTN	224.1249387366083
F7UWL3_EEGSY	221.568636235841
A0A1Y4G2J4_9ACTN	220.10237290870955
R6I3U9_9ACTN	216.88605664769315
U2VD49_9ACTN	207.3098039199715
F2NB82_CORGP	204.92081875395237
R5FLM1_9ACTN	204.79588001734407
A0A1G8P2U6_9LACT	202.72124639904717
R7KBA0_9CLOT	201.14874165128091
H3NFH0_9LACT	200.2757241303992
R6ET93_9FIRM	198.09151498112135
R5MT23_9MOLU	197.79588001734407
G5JVJ9_9STRE	195.72124639904717
R7D1C6_9ACTN	194.4814860601221
E1QW44_OLSUV	194.01772876696043
R5SXF4_9CLOT	193.69897000433602
R3WHR8_9ENTE	192.0
A0A1J0A4R8_9ENTE	191.53760200210104
A0A1L8SVK0_9ENTE	191.52287874528034
Q8E042_STRA5	191.4436974992327
R6P3Z6_9FIRM	191.06550154875643
A0A139NKI7_9STRE	190.92081875395237
R6ZAM8_9CLOT	189.15490195998575
A0A0E4H4H8_9STRE	188.10237290870955
B5CL59_9FIRM	188.0
A0A172Q7S3_9STRE	186.92081875395237
CAS9_STRMU	186.4814860601221
I6T669_ENTHA	186.3279021420643
A0A2A4DVN9_ENTHR	185.88605664769315
A0A1R4JY54_9SPHI	185.85387196432177
A0A1G6A5G6_9STRE	185.85387196432177
A0A1L8WQK4_9ENTE	185.82390874094432
F9HIG7_9STRE	184.92081875395237
A0A1Q8RF43_9STRE	184.82390874094432
A0A179EQS1_ENTTH	184.82390874094432
V5XLV7_ENTMU	184.79588001734407
A0A017H668_9FUSO	183.85387196432177
A0A0R1TV35_9LACO	183.50863830616572
D6GRK4_FILAD	182.92081875395237
V4Q7N5_STRIN	182.53760200210104
D4J3S7_9FIRM	182.4814860601221
A0A1X6WKP1_9ENTE	182.20760831050174
G5KAN2_9STRE	182.11350927482752
A0A1Q8EAV4_9STRE	181.38721614328026
A0A242K0X1_9ENTE	181.3279021420643
R5RU71_9CLOT	180.85387196432177
A0A1G9IV55_9CLOT	180.79588001734407
U2U1P0_9ACTN	180.4948500216801
A0A0R2I8Q5_9LACO	180.46852108295775
A0A1E8GQ60_9LACT	180.38721614328026
A0A095XEU7_9FIRM	180.0
A0A1I6SZS7_9BACI	179.72124639904717
A0A1Q2D5C5_9ENTE	177.53760200210104
M4YX12_STREQ	177.02227639471116
A0A0R1W1T1_9LACO	176.04575749056067
A0A0P6SHS4_9STRE	175.85387196432177
A0A0B4S2L0_9FIRM	175.72124639904717
E0NJ84_9FIRM	175.20760831050174
A0A0R1S4R8_9LACO	174.92081875395237
A0A1E5KUU0_9ENTE	174.7447274948967
A0A133YY65_9ACTN	174.39794000867204
H3NQF8_9FIRM	173.6197887582884
E0NI75_PEDAC	173.4948500216801
A0A2P8R3D8_9PROT	172.6382721639824
S1NSG8_9ENTE	172.1938200260161
R9MHT9_9FIRM	171.45593195564973
R5BQB0_9FIRM	171.2757241303992
A0A0R1RRH5_9LACO	171.0
A0A062XBE5_9LACO	170.6382721639824
E6LI02_9ENTE	170.2518119729938
A0A0R2HZC9_9LACO	170.22914798835785
A0A1Y3X8W7_9FIRM	169.34678748622466
W9EE99_9LACO	169.03621217265444
A0A081BKX9_9LACO	168.95860731484177
A0A1G5VTW4_9FIRM	168.85387196432177
W1U735_9FIRM	168.6575773191778
A0A0R1WWN2_9LACO	168.58502665202917
A0A095ZV18_9FIRM	168.52287874528034
A0A133YSB7_9FIRM	167.58502665202917
A0A1Y4MDC8_9FIRM	167.1249387366083
A0A0D0YUU5_9LACO	166.92081875395237
A0A1L8RHH1_9ENTE	166.82390874094432
R5YGP2_9FIRM	166.53760200210104
Q73QW6_TREDE	166.1938200260161
B0RZQ7_FINM2	165.6777807052661
C2CKI6_9FIRM	165.33724216831843
C5NZ04_9BACL	164.82390874094432
J9W3C2_LACBU	164.08092190762392
A0A0R1S2S1_9LACO	163.72124639904717
A0A0J5P9G6_9LACT	163.69897000433602
A0A0R2FVI8_9LACT	163.4948500216801
G2KVM6_LACSM	163.4202164033832
A0A1M4Z2G1_9FIRM	163.38721614328026
U2SSY7_9FUSO	163.34678748622466
R9LW52_9FIRM	163.34678748622466
A0A1I1D643_9FIRM	163.09151498112135
C2D302_LACBR	162.85387196432177
F9MP31_9FIRM	162.4948500216801
A0A0R2DGS6_9LACO	162.38721614328026
R6U7U5_9CLOT	162.1191864077192
R6QHH1_9FIRM	162.08092190762392
A0A1Y4MYU4_9FIRM	161.88605664769315
A0A128ECZ8_9PROT	161.0
A0A133ZK65_9FIRM	160.95860731484177
A0A0R2JSC5_9LACO	160.82390874094432
W3Y2C1_9FIRM	160.76955107862173
D7N6R3_9FIRM	160.568636235841
Q7P7J1_FUSNV	160.3665315444204
A0A0R2HIR8_9LACT	159.6382721639824
A0A1Q6TH32_9FIRM	158.85387196432177
R5Z6B4_9FIRM	158.76955107862173
J4KB57_9FIRM	158.60205999132796
A0A1Y4M0G0_9FIRM	157.88605664769315
A0A0R1RFJ4_9LACO	157.6777807052661
A0A0R1MNC7_9LACO	157.5528419686578
A0A0R1K630_9LACO	157.16115090926274
Q1WVK1_LACS1	156.92081875395237
A0A1H3WUW7_9FIRM	156.4814860601221
R5J5B2_9FIRM	156.09691001300806
I7L6U4_9LACO	155.3187587626244
J9YH95_LEUGJ	155.0705810742857
A0A0R1RHH9_9LACO	154.88605664769315
R5N3I1_9FIRM	153.95860731484177
J0DFD8_9BIFI	152.72124639904717
E7MR72_9FIRM	152.22184874961636
A0A0R1KBL5_9LACO	152.06048074738138
G9WGU4_9LACT	151.92081875395237
A0A261F7M3_9BIFI	151.85387196432177
S0RVL7_9ENTE	150.79588001734407
W7CGS6_BROTH	149.6777807052661
A0A2S2JKP0_9LACO	148.3665315444204
A0A2S2JKP0_9LACO	148.3665315444204
R5GJ26_9FIRM	148.2757241303992
A0A1H6QJL3_9FIRM	147.5528419686578
A0A1H6QJL3_9FIRM	147.5528419686578
A0A2K9P034_9FIRM	147.26760624017703
A0A2K9P034_9FIRM	147.26760624017703
X0QNI0_9LACO	146.7447274948967
A0A1I1T9Q3_9LACO	146.6382721639824
A0A0R2KGU9_9LACO	146.4089353929735
A0A1H2SUB6_9FIRM	146.1079053973095
A0A0R2DLB6_9LACO	146.03621217265444
A0A0R2DLB6_9LACO	146.03621217265444
A0A0R2DIR3_9LACO	144.2757241303992
G4Q6A5_ACIIR	143.95860731484177
A0A0R2JE56_9LACT	143.5528419686578
A0A0R2AFH9_9LACO	142.76955107862173
W7CZE5_9LIST	142.3665315444204
A0A239U749_9STAP	141.85387196432177
A0A0D4CLL6_LACMC	140.6197887582884
A0A1I1AMI4_9FIRM	140.14266750356873
A0A1I1AMI4_9FIRM	140.14266750356873
A0A2K3ZAQ9_9STAP	139.95860731484177
A0A1H3WQM5_9FIRM	139.08092190762392
A0A0R2N0I6_9LACO	138.92081875395237
A0A0R2DR00_9LACO	137.95860731484177
A0A1T4LEJ3_9ENTE	134.04575749056067
A0A1T4LEJ3_9ENTE	134.04575749056067
A0A1T4LEJ3_9ENTE	134.04575749056067
A0A133YDF1_9FIRM	133.38721614328026
A0A0R1SG79_9LACO	131.22184874961636
A0A089Y508_9LACO	129.45593195564973
A0A261F7P4_9BIFI	128.52287874528034
A0A261F7P4_9BIFI	128.52287874528034
R6XMN7_9FIRM	128.22184874961636
R5R3T7_9FIRM	124.53760200210104
R5ZG15_9CLOT	124.30102999566398
R5ZG15_9CLOT	124.30102999566398
R5ZG15_9CLOT	124.30102999566398
R5V4T4_9FIRM	115.22184874961636
R5JYM0_9FIRM	109.92081875395237
E7NSW4_TREPH	109.4089353929735
A0A062XN29_LEUPS	108.39794000867204
F9N3Y3_9FIRM	107.85387196432177
A0A0F4LLE0_9LACO	106.34678748622466
R7FJU9_9CLOT	104.95860731484177
A0A0C1M7A0_9LACO	103.27572413039921
E6MK08_9FIRM	93.06550154875643
T0UXW1_9STRE	87.32790214206429
A0A0R1U8F5_9LACO	80.35654732351381
W7CWL2_9LIST	77.38721614328027
E6MK09_9FIRM	63.63827216398241
T0UPW4_9STRE	61.95860731484178
A0A143X9R5_9ACTN	54.69897000433602
H1D477_9FUSO	52.01772876696043
A0A2K3ZEA6_9STAP	51.42021640338319
C2KY78_9FIRM	49.67778070526608
W7B6K5_9LIST	46.30102999566398
H1D479_9FUSO	45.74472749489669
A0A0R1KBP1_9LACO	45.236572006437065
F9N3Y2_9FIRM	44.88605664769317
A0A0C1LZG5_9LACO	43.494850021680094
C2KY79_9FIRM	42.795880017344075
S0SBT3_9ENTE	41.795880017344075
H1D478_9FUSO	41.52287874528034
W7CJX3_BROTH	36.795880017344075
E7NSW3_TREPH	36.283996656365204
C2KY80_9FIRM	31.568636235841012
A0A2U1BAQ7_9FIRM	30.468521082957746
A0A2U1BB41_9FIRM	29.50863830616573
S0J9K5_9FIRM	25.013228265733755
S0J9K5_9FIRM	25.013228265733755
A0A2T4U5U2_9BACI	24.769551078621728
A0A2T4U5U2_9BACI	24.769551078621728
A0A1G9C575_9BACI	24.443697499232712
A0A1G9C575_9BACI	24.443697499232712
A0A151A3A4_STASA	23.920818753952375
A0A151A3A4_STASA	23.920818753952375
A0A2S1AAM2_9BACI	23.27572413039921
A0A2S1AAM2_9BACI	23.27572413039921
H7F839_9LIST	21.795880017344075
H7F839_9LIST	21.795880017344075
E1W6G3_HAEP3	21.214670164989233
E1W6G3_HAEP3	21.214670164989233
