Target Name	E-value
A0A0H4LAX2_9LACO	1000000.0
A0A1P8Q111_9LACO	1000000.0
A0A0R1KBL5_9LACO	275.6575773191778
R7I2K1_9CLOT	223.6382721639824
A0A0R2HM97_9FIRM	207.52287874528034
R7GMQ9_9FIRM	203.14266750356873
A0A0R1W1T1_9LACO	202.0268721464003
W9EE99_9LACO	199.95860731484177
A0A1I0EHL5_9FIRM	199.50863830616572
A0A0R1RRH5_9LACO	197.45593195564973
A0A0R1RRH5_9LACO	197.45593195564973
C2D302_LACBR	193.72124639904717
X0QNI0_9LACO	191.14266750356873
A0A0R1S2S1_9LACO	190.72124639904717
A0A0R2I8Q5_9LACO	190.52287874528034
A0A0R2HZC9_9LACO	189.69897000433602
G9WGU4_9LACT	188.92081875395237
A0A2K2U9X6_9ACTN	188.69897000433602
A0A1L8SVK0_9ENTE	188.45593195564973
G5JVJ9_9STRE	188.431798275933
H3NFH0_9LACT	188.3665315444204
J9W3C2_LACBU	187.50863830616572
A0A0R1WWN2_9LACO	186.85387196432177
F7UWL3_EEGSY	186.07572071393813
R7KBA0_9CLOT	185.568636235841
Q8E042_STRA5	185.0409586076789
A0A261F7M3_9BIFI	184.58502665202917
A0A1I6SZS7_9BACI	184.0409586076789
R6I3U9_9ACTN	183.95860731484177
R3WHR8_9ENTE	183.95860731484177
E0NI75_PEDAC	183.13076828026902
A0A1Q8RF43_9STRE	183.0705810742857
CAS9_STRMU	182.88605664769315
F9HIG7_9STRE	182.88605664769315
A0A0R2DGS6_9LACO	182.7447274948967
G2KVM6_LACSM	182.6197887582884
A0A172Q7S3_9STRE	181.92081875395237
A0A1Q8EAV4_9STRE	181.88605664769315
A0A1J0A4R8_9ENTE	180.85387196432177
U2VD49_9ACTN	180.7447274948967
A0A0R2JSC5_9LACO	180.6777807052661
R5MT23_9MOLU	180.22914798835785
A0A1R4JY54_9SPHI	179.38721614328026
A0A179EQS1_ENTTH	179.0705810742857
E6LI02_9ENTE	179.05551732784983
J9YH95_LEUGJ	178.92081875395237
A0A0R1MNC7_9LACO	178.53760200210104
Q1WVK1_LACS1	178.50863830616572
A0A1X6WKP1_9ENTE	178.3767507096021
R7D1C6_9ACTN	177.60205999132796
A0A139NKI7_9STRE	177.5528419686578
A0A1Y4G2J4_9ACTN	177.4089353929735
V5XLV7_ENTMU	177.30102999566398
A0A081BKX9_9LACO	177.29242982390207
A0A0R2HIR8_9LACT	177.10237290870955
J0DFD8_9BIFI	177.04575749056067
I6T669_ENTHA	176.6382721639824
R5FLM1_9ACTN	176.52287874528034
R5FLM1_9ACTN	176.52287874528034
A0A0J5P9G6_9LACT	176.4948500216801
A0A0R2DR00_9LACO	176.46852108295775
M4YX12_STREQ	176.06550154875643
A0A2A4DVN9_ENTHR	175.88605664769315
A0A1E8GQ60_9LACT	175.6382721639824
A0A0R2FVI8_9LACT	174.88605664769315
A0A0R1S4R8_9LACO	173.92081875395237
A0A1Q2D5C5_9ENTE	173.4814860601221
A0A1L8WQK4_9ENTE	172.76955107862173
A0A0D0YUU5_9LACO	172.6382721639824
A0A0P6SHS4_9STRE	170.92081875395237
I7L6U4_9LACO	170.76955107862173
A0A2S2JKP0_9LACO	170.39794000867204
A0A2S2JKP0_9LACO	170.39794000867204
