Target Name	E-value
A0A0R1RFJ4_9LACO	1000000.0
A0A0D0YUU5_9LACO	1000000.0
A0A0R1RRH5_9LACO	1000000.0
A0A0R2I8Q5_9LACO	1000000.0
A0A0R1WWN2_9LACO	1000000.0
A0A0R2DGS6_9LACO	1000000.0
A0A0R1S2S1_9LACO	1000000.0
C2D302_LACBR	1000000.0
J9W3C2_LACBU	1000000.0
A0A0R1W1T1_9LACO	1000000.0
A0A081BKX9_9LACO	1000000.0
E0NI75_PEDAC	1000000.0
A0A0R2HZC9_9LACO	1000000.0
A0A0D4CLL6_LACMC	1000000.0
A0A0D4CLL6_LACMC	1000000.0
W9EE99_9LACO	1000000.0
A0A0R2DR00_9LACO	1000000.0
A0A0R1MNC7_9LACO	1000000.0
G2KVM6_LACSM	1000000.0
I7L6U4_9LACO	1000000.0
A0A0R2AFH9_9LACO	1000000.0
A0A0R2JSC5_9LACO	1000000.0
A0A0R1RHH9_9LACO	308.8239087409443
A0A0R1K630_9LACO	301.4089353929735
A0A0R1K630_9LACO	301.4089353929735
A0A0R1S4R8_9LACO	296.67778070526606
A0A1I1T9Q3_9LACO	295.0
A0A2S2JKP0_9LACO	292.8860566476932
A0A2S2JKP0_9LACO	292.8860566476932
A0A0R1SG79_9LACO	290.0
Q1WVK1_LACS1	284.7212463990472
A0A0R2N0I6_9LACO	283.9208187539524
A0A0R2DLB6_9LACO	277.52287874528037
A0A0R2DLB6_9LACO	277.52287874528037
A0A089Y508_9LACO	275.7958800173441
A0A0R2DIR3_9LACO	248.92081875395237
A0A0C1M7A0_9LACO	232.431798275933
A0A0F4LLE0_9LACO	229.08092190762392
A0A0R2HIR8_9LACT	200.14874165128091
A0A0J5P9G6_9LACT	193.58502665202917
A0A0R2FVI8_9LACT	186.33724216831843
G9WGU4_9LACT	185.39794000867204
J9YH95_LEUGJ	182.72124639904717
A0A0R2JE56_9LACT	174.79588001734407
X0QNI0_9LACO	172.00436480540245
A0A261F7M3_9BIFI	169.3565473235138
A0A261F7M3_9BIFI	169.3565473235138
J0DFD8_9BIFI	165.92081875395237
A0A1P8Q111_9LACO	164.5528419686578
A0A1Q2D5C5_9ENTE	163.95860731484177
A0A0H4LAX2_9LACO	163.92081875395237
A0A1I6SZS7_9BACI	163.03151705144606
D4J3S7_9FIRM	160.3565473235138
H3NFH0_9LACT	160.0
B5CL59_9FIRM	159.85387196432177
A0A0R2HM97_9FIRM	158.25963731050575
A0A1I0EHL5_9FIRM	158.1249387366083
R6I3U9_9ACTN	156.15490195998575
A0A179EQS1_ENTTH	155.3767507096021
A0A1L8WQK4_9ENTE	155.02227639471116
R6ZAM8_9CLOT	154.82390874094432
E6LI02_9ENTE	154.79588001734407
R7I2K1_9CLOT	154.79588001734407
R7GMQ9_9FIRM	154.52287874528034
G5JVJ9_9STRE	154.22184874961636
Q8E042_STRA5	153.88605664769315
V4Q7N5_STRIN	153.82390874094432
A0A1G6A5G6_9STRE	153.7447274948967
M4YX12_STREQ	153.03621217265444
A0A0P6SHS4_9STRE	152.95860731484177
F9HIG7_9STRE	152.92081875395237
A0A1L8RHH1_9ENTE	152.92081875395237
F7UWL3_EEGSY	152.6777807052661
A0A242K0X1_9ENTE	152.6575773191778
A0A1L8SVK0_9ENTE	152.14874165128091
I6T669_ENTHA	151.4089353929735
A0A1J0A4R8_9ENTE	151.17392519729918
A0A2A4DVN9_ENTHR	151.14266750356873
R5MT23_9MOLU	151.14266750356873
R3WHR8_9ENTE	151.03621217265444
A0A1Q8RF43_9STRE	150.568636235841
R7D1C6_9ACTN	150.53760200210104
A0A139NKI7_9STRE	150.0409586076789
CAS9_STRMU	149.95860731484177
A0A0E4H4H8_9STRE	149.82390874094432
A0A1Y4G2J4_9ACTN	149.69897000433602
A0A1X6WKP1_9ENTE	149.6197887582884
